video_id,title,channel_title,publish_time,country,category_id,category_name,language,duration,views,likes,comments
Ei4aOe4yakg,MARS MELODY (OFFICIAL VIDEO) - HARKIRAT SANGHA | STARBOY X,Harkirat Sangha,2026-01-14T02:00:51Z,CA,10,Music,pa,PT2M24S,1030002,40672,822
M1YkKBXb_UA,Payal Ki Khanak | Official Video | Hindi New Song | Anil Rawat | Kajal | Mohit Love | Bhaigiri Music,Bhaigiri Music Star ,2026-01-13T08:30:22Z,IN,22,Music,hi,PT6M25S,959384,2510,31
LAuBFQPO-Fo,Con Mèo Xuân - Khuyến Dương | Official Music Video,Grammy Music Vietnam,2026-01-10T12:58:06Z,VN,10,Music,vi,PT4M19S,952390,31796,1755
022MsTw1GCo,WREN EVANS - Gió Đưa Tình | NỔ The Album (ft. itsnk),Wren Evans Official,2026-01-05T13:00:02Z,VN,10,Music,vi,PT3M42S,902628,7684,353
IWSinYTZoro,THIỆP HỒNG SAI TÊN - NGUYỄN THÀNH ĐẠT | THÁI HỌC (COVER) - Em viết thiệp hồng tên em thì đúng …,Nguyễn Thái Học Official,2025-12-30T12:00:42Z,VN,10,Music,vi,PT5M13S,897541,3310,326
w1JvpE2XiSo,"Tyler ICU, XDuppy, AL Xapo, Benzoo, Optimist Music ZA - Fada Xmas Akekho (Visualizer)",Tyler ICU ,2025-12-24T22:00:07Z,ZA,10,Music,und,PT3M16S,890348,18271,487
qCbFhjLU-aM,Luke Combs - Sleepless in a Hotel Room (Official Studio Video),LukeCombsVEVO,2026-01-07T17:01:34Z,IE,10,Music,en,PT2M59S,887382,18495,1104
NR9CvYKjIHk,LOHRI DA GEET - New Bhangra Hit💃| Bhupinder Babbal | Latest Punjabi Songs 2026,T-Series Apna Punjab,2026-01-07T11:29:41Z,NZ,10,Music,pa,PT3M9S,871187,9525,240
0S1nOg15L9E,BOOTER BEE - HOW WE SHOOT [Official Video],Booter Bee,2026-01-01T19:00:06Z,GB,10,Music,en,PT2M31S,808587,14182,526
VollcciTb3s,JUKY SAN ft. LIU GRACE - TA CÙNG NHAU QUÊN NIỀM ĐAU | OFFICIAL MV | ALBUM ĐẪM TÌNH,Juky San,2026-01-07T13:00:07Z,VN,10,Music,vi,PT3M9S,791720,16932,789
9KEjxehXFBA,HOA VÀ VÁY - Quốc Thiên | Nữ Ca Sĩ Giấu Mặt Cover | Em Sẽ Nắm Chặt Đôi Tay Và Yêu Đậm Sâu...,ACVocals,2026-01-02T12:09:09Z,VN,10,Music,vi,PT4M43S,785269,2294,95
D3iuW1vkje0,Goo Goo Dolls - Iris (Lyrics) | I just want you to know who I am,Aura Serenity,2026-01-14T08:15:02Z,GB,10,Music,en,PT5M11S,769533,1678,19
VZ0il2mBjK0,bài hát này dành riêng cho mình em - CONGB ft. buitruonglinh | Performance Video | CONGBDAY EP,CONGB Official,2026-01-04T12:00:06Z,VN,10,Music,vi,PT3M24S,767699,30252,10743
Akkzj5p3a3E,Hilary Duff - Roommates (Official Video),Hilary Duff,2026-01-16T00:00:07Z,US,10,Music,en,PT3M12S,751319,39920,3548
J7ZzSf9Yugo,Plastic Cigarette,Zach Bryan - Topic,2026-01-09T05:02:36Z,CA,10,Music,en,PT3M6S,725678,11663,97
iCvTrCngwQE,STAY HERE 4 LIFE,A$AP Rocky - Topic,2026-01-16T05:44:23Z,US,10,Music,en,PT5M47S,719473,29353,498
WFPAm519lfI,Veeze - One of Them Ones (feat. Rylo Rodriguez & Lil Baby) [Official Music Video],VEEZE WEAK ASS 7,2026-01-16T05:00:40Z,US,10,Music,en,PT3M3S,710970,32485,1520
poUtpQ2SzrI,Blueface Ft Stunna Girl - Better (OFFICIAL MUSIC VIDEO), bleedem,2026-01-17T01:05:47Z,US,10,Music,en,PT2M4S,697160,34807,3611
8-CeCO0GzVg,STOLE YA FLOW,A$AP Rocky - Topic,2026-01-16T05:44:23Z,US,10,Music,en,PT3M20S,696752,26591,443
v5_GoNFr5wc,ZEROBASEONE (제로베이스원) ‘Running to Future’ MV,ZEROBASEONE,2026-01-09T09:00:34Z,SG,24,Music,en,PT3M59S,650370,84521,9486
eoEX7epjMAQ,Ngixolele Mtanami,Nkeshemba - Topic,2025-12-26T10:04:39Z,ZA,10,Music,und,PT4M25S,643165,6563,155
1JX7s_xdTbY,Marnz Malone - Nana's Veranda (Official Music Video),Marnz Malone,2026-01-08T19:00:01Z,GB,22,Music,en-GB,PT4M40S,610489,17119,772
TUOx25POPoQ,Journey - Don't Stop Believin' 🎶 (Lyrics),Octava Rock,2026-01-09T15:00:56Z,GB,22,Music,en,PT4M9S,599726,2500,14
-2mjBMimBGs,Get at Me,Prem Dhillon - Topic,2026-01-16T09:09:30Z,CA,10,Music,pa,PT4M9S,592075,15531,658
4IuUYpS9RjE,"Wizkid, Asake - Jogodo (Official Audio)",AsakeVEVO,2026-01-15T22:00:03Z,GB,10,Music,en,PT3M9S,551305,23977,2429
